;Agence;Nom Tiers Agence;Solde;Solde confirmé ?;Date Solde
98;SATAR BORDEAUX;PRIMEVER VDR CHATEAUNEUF SUR ISERE;0;Oui;2023-06-30
99;SATAR BORDEAUX;SATAR AGEN PRIMEUR;0;Oui;2023-08-31
100;SATAR BORDEAUX;SATAR SAMAZAN;-1638;Non;2024-02-29
101;SATAR BORDEAUX;SATAR MOISSAC;17;Non;2024-02-29
102;SATAR BORDEAUX;TMF BEZIERS;54;Non;2024-01-31
103;SATAR BORDEAUX;TMF TOURS;0;Oui;2023-07-31
104;SATAR BORDEAUX;TMF ESTILLAC;0;Oui;2023-03-31
105;SATAR BORDEAUX;TRAFIBA ST GEOURS DE MAREMME;0;Oui;2024-01-31
106;SATAR MOISSAC;GUIDEZ MONCHY LE PREUX;306;Non;2024-02-29
107;SATAR MOISSAC;GUIDEZ LOG MONCHY ;0;Oui;2022-12-31
108;SATAR MOISSAC;PRA LYON;0;Oui;2023-12-31
109;SATAR MOISSAC;PRIMAVER PERPIGNAN;337;Non;2022-12-31
110;SATAR MOISSAC;PATL ALLONNES;21;Non;2023-09-30
111;SATAR MOISSAC;PATL REZE;139;Non;2023-12-31
112;SATAR MOISSAC;PRIMEVER EUROPE AGEN;-486;Non;2022-12-31
113;SATAR MOISSAC;FTL LE CRES;-754;Oui;2024-03-31
114;SATAR MOISSAC;PRIMEVER IDF LOGISTIQUE RUNGIS;0;Oui;2022-12-31
115;SATAR MOISSAC;PRIMEVER IDF LOGISTIQUE RUNGIS;-24;Non;2023-12-31
116;SATAR MOISSAC;PRIMEVER IDF RUNGIS (GST);-480;Non;2023-12-31
117;SATAR MOISSAC;PRIMEVER LIMOUSIN DONZENAC;383;Non;2023-03-31
118;SATAR MOISSAC;PRIMEVER ORLEANS;-36;Non;2023-12-31
119;SATAR MOISSAC;PRIMEVER PERPIGNAN 1;-50;Non;2023-11-30
120;SATAR MOISSAC;PRIMEVER PERPIGNAN 3;0;Oui;2023-03-31
121;SATAR MOISSAC;PLM MONTPELLIER;0;Oui;2024-03-31
122;SATAR MOISSAC;PLM NICE;-16;Oui;2023-09-30
123;SATAR MOISSAC;PLM PLAN D'ORGON;-637;Oui;2024-03-31
124;SATAR MOISSAC;PRIMEVER PROVENCE CHATEAURENARD;-293;Oui;2024-03-31
125;SATAR MOISSAC;PRIMEVER TOULOUSE;-930;Non;2023-10-31
126;SATAR MOISSAC;PRIMEVER TOURS;0;Oui;2022-12-31
127;SATAR MOISSAC;PTI AGEN;-1336;Non;2023-12-31
128;SATAR MOISSAC;PTI AGEN;0;Non;2024-01-31
129;SATAR MOISSAC;PTSO MOISSAC;-219;Non;2023-03-31
130;SATAR MOISSAC;PRIMEVER VDR CHATEAUNEUF SUR ISERE;31;Oui;2023-11-30
131;SATAR MOISSAC;SATAR AGEN PRIMEUR;-285;Non;2023-07-31
132;SATAR MOISSAC;SATAR SAMAZAN;0;Oui;2024-03-31
133;SATAR MOISSAC;SATAR BORDEAUX;-144;Non;2023-03-31
134;SATAR MOISSAC;SATAR AGEN LOGISTIQUE;3592;Non;2023-10-31
135;SATAR MOISSAC;TMF BEZIERS;-29;Non;2024-01-31
136;SATAR MOISSAC;TMF ESTILLAC;-100;Non;2023-07-31
137;SATAR MOISSAC;TRAFIBA ST GEOURS DE MAREMME;0;Oui;2022-12-31
138;SATAR SAMAZAN;GUIDEZ MONCHY LE PREUX;-296;Non;2024-01-31
139;SATAR SAMAZAN;GUIDEZ LOG MONCHY ;0;Oui;2023-11-30
140;SATAR SAMAZAN;PRA LYON;398;Non;2023-12-31
141;SATAR SAMAZAN;PRIMAVER PERPIGNAN;0;Oui;2024-03-31
142;SATAR SAMAZAN;PATL ALLONNES;710;Non;2023-11-30
143;SATAR SAMAZAN;PATL REZE;236;Oui;2024-03-31
144;SATAR SAMAZAN;PRIMEVER EUROPE AGEN;117;Non;2023-09-30
145;SATAR SAMAZAN;PRIMEVER IDF LOGISTIQUE RUNGIS;-150;Oui;2023-10-31
146;SATAR SAMAZAN;PRIMEVER IDF LOGISTIQUE RUNGIS;-38;Non;2023-09-30
147;SATAR SAMAZAN;PRIMEVER IDF RUNGIS (GST);-4;Non;2023-10-31
148;SATAR SAMAZAN;PRIMEVER LIMOUSIN DONZENAC;-905;Non;2023-11-01
149;SATAR SAMAZAN;PRIMEVER NORMANDIE ST AMAND;53;Oui;2024-02-29
150;SATAR SAMAZAN;PRIMEVER ORLEANS;-117;Non;2023-08-31
151;SATAR SAMAZAN;PRIMEVER PERPIGNAN 1;-1103;Non;2023-11-30
152;SATAR SAMAZAN;PRIMEVER PERPIGNAN 5;0;Oui;2022-12-31
153;SATAR SAMAZAN;PLM MONTPELLIER;-25;Oui;2024-03-31
154;SATAR SAMAZAN;PLM PLAN D'ORGON;-442;Non;2023-11-30
155;SATAR SAMAZAN;PRIMEVER PROVENCE CHATEAURENARD;2323;Oui;2024-03-31
156;SATAR SAMAZAN;PRIMEVER TOULOUSE;-538;Non;2024-02-29
157;SATAR SAMAZAN;PRIMEVER TOURS;-32;Non;2024-02-29
158;SATAR SAMAZAN;PTI AGEN;-97;Non;2024-02-29
159;SATAR SAMAZAN;PTSO MOISSAC;-587;Non;2023-10-31
160;SATAR SAMAZAN;PRIMEVER VDR CHATEAUNEUF SUR ISERE;513;Non;2024-02-29
161;SATAR SAMAZAN;SATAR AGEN SIEGE;0;Oui;2022-12-28
162;SATAR SAMAZAN;SATAR AGEN PRIMEUR;512;Oui;2024-03-31
163;SATAR SAMAZAN;SATAR BORDEAUX;1736;Non;2024-02-29
164;SATAR SAMAZAN;SATAR MOISSAC;-68;Non;2023-10-31
165;SATAR SAMAZAN;SATAR AGEN LOGISTIQUE;8066;Non;2023-11-30
166;SATAR SAMAZAN;TMF PLAN D'ORGON;-405;Non;2023-12-31
167;SATAR SAMAZAN;TMF BEZIERS;-128;Oui;2024-03-31
168;SATAR SAMAZAN;TMF LE CRES;-280;Non;2023-10-31
169;SATAR SAMAZAN;TMF TOURS;-124;Non;2023-10-31
170;SATAR SAMAZAN;TMF ESTILLAC;-794;Non;2024-01-31
171;SATAR SAMAZAN;TRAFIBA ST GEOURS DE MAREMME;-271;Non;2024-02-29
172;TRAFIBA ST GEOURS DE MAREMME;PRIMEVER EUROPE AGEN;1;Non;2024-02-29
173;TRAFIBA ST GEOURS DE MAREMME;PTI AGEN;37;Oui;2024-02-29
174;TRAFIBA ST GEOURS DE MAREMME;SATAR SAMAZAN;233;Oui;2024-03-31
175;TRAFIBA ST GEOURS DE MAREMME;SATAR BORDEAUX;14;Oui;2024-02-29
176;TRAFIBA ST GEOURS DE MAREMME;SATAR MOISSAC;-2;Oui;2024-02-29
177;GUIDEZ MONCHY LE PREUX;PRIMEVER LIMOUSIN DONZENAC;180;Oui;2024-03-31
178;GUIDEZ LOG MONCHY ;PRIMEVER LIMOUSIN DONZENAC;0;Oui;2023-09-30
179;PRA FEILLENS;PRIMEVER LIMOUSIN DONZENAC;7;Non;2023-11-30
180;PRA LYON;PRIMEVER LIMOUSIN DONZENAC;-22;Non;2023-11-30
181;PATL ALLONNES;PRIMEVER LIMOUSIN DONZENAC;6;Non;2023-10-31
182;PRIMEVER IDF LOGISTIQUE RUNGIS;PRIMEVER LIMOUSIN DONZENAC;0;Oui;2022-12-31
183;PRIMEVER IDF RUNGIS (GST);PRIMEVER LIMOUSIN DONZENAC;594;Non;2023-11-30
184;PRIMEVER ORLEANS;PRIMEVER LIMOUSIN DONZENAC;132;Non;2023-12-31
185;PRIMEVER PERPIGNAN 1;PRIMEVER LIMOUSIN DONZENAC;0;Non;2023-11-30
186;PLM MONTPELLIER;PRIMEVER LIMOUSIN DONZENAC;0;Oui;2023-09-30
187;PLM NICE;PRIMEVER LIMOUSIN DONZENAC;0;Oui;2023-11-30
188;PLM PLAN D'ORGON;PRIMEVER LIMOUSIN DONZENAC;4;Oui;2023-11-30
189;PRIMEVER SERVICES RUNGIS;PRIMEVER LIMOUSIN DONZENAC;0;Oui;2022-12-31
190;PRIMEVER TOULOUSE;PRIMEVER LIMOUSIN DONZENAC;96;Non;2023-12-31
191;PRIMEVER TOURS;PRIMEVER LIMOUSIN DONZENAC;0;Oui;2023-10-31
192;PTI AGEN;PRIMEVER LIMOUSIN DONZENAC;-36;Non;2023-09-30
193;PTSO MOISSAC;PRIMEVER LIMOUSIN DONZENAC;-3879;Non;2022-10-31
194;PRIMEVER VDR CHATEAUNEUF SUR ISERE;PRIMEVER LIMOUSIN DONZENAC;44;Non;2023-08-31
195;SATAR AGEN PRIMEUR;PRIMEVER LIMOUSIN DONZENAC;0;Oui;2023-10-31
196;SATAR SAMAZAN;PRIMEVER LIMOUSIN DONZENAC;-666;Non;2023-10-31
197;SATAR BORDEAUX;PRIMEVER LIMOUSIN DONZENAC;677;Non;2023-11-30
